full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
73P/Schwassmann-Wachmann 3-BX,3.116,0.6873,11.26,69.49,199.38,0.974,5.26,5.5,10.0,8.0,38,-1.0,0
73P/Schwassmann-Wachmann 3-BY,3.034,0.6799,11.2,69.77,199.46,0.971,5.1,5.28,5.0,9.0,25,-1.0,0
79P/du Toit-Hartley,3.031,0.5941,2.89,307.84,253.27,1.231,4.83,5.28,9595.0,1.0,215,-1.0,0
79P/du Toit-Hartley-A,3.004,0.6023,2.94,309.38,251.57,1.195,4.81,5.21,138.0,6.0,28,-1.0,0
79P/du Toit-Hartley-B,2.981,0.5996,2.94,309.31,251.72,1.194,4.77,5.15,23.0,9.0,17,-1.0,0
85D/Boethin,5.185,0.7812,4.3,359.4,37.62,1.135,9.24,11.8,4042.0,8.0,51,-1.0,0
96P/Machholz 1,3.035,0.9592,58.14,94.25,14.79,0.124,5.95,5.29,4080.0,0.0,667,-1.0,0
103P/Hartley 2,3.475,0.6938,13.61,219.75,181.3,1.064,5.89,6.48,2388.0,0.0,2816,-1.0,0
104P/Kowal 2,3.208,0.6655,5.7,207.21,227.25,1.073,5.34,5.74,2351.0,2.0,1551,-1.0,0
109P/Swift-Tuttle,26.09,0.9632,113.45,139.38,152.98,0.96,51.22,133.0,94131.0,0.0,652,-1.0,0
122P/de Vico,17.68,0.9627,85.38,79.62,13.0,0.659,34.7,74.3,54902.0,0.0,294,-1.0,0
141P/Machholz 2,3.055,0.7367,13.98,241.88,153.62,0.804,5.31,5.34,2131.0,0.0,852,-1.0,0
141P/Machholz 2-A,3.01,0.7505,12.79,246.16,149.24,0.751,5.27,5.22,2006.0,1.0,411,-1.0,0
141P/Machholz 2-D,3.009,0.7511,12.81,246.14,149.29,0.749,5.27,5.22,9607.0,2.0,157,-1.0,0
141P/Machholz 2-I,3.066,0.7365,13.95,241.82,153.57,0.808,5.32,5.37,37.0,8.0,11,-1.0,0
157P/Tritton,3.368,0.6275,11.18,289.43,157.44,1.255,5.48,6.18,2804.0,1.0,434,-1.0,0
161P/Hartley-IRAS,7.73,0.8351,95.7,1.4,47.09,1.275,14.19,21.5,7994.0,0.0,335,-1.0,0
162P/Siding Spring,3.053,0.5961,27.82,31.24,356.32,1.233,4.87,5.33,12498.0,0.0,3197,-1.0,0
169P/NEAT,2.606,0.7668,11.3,176.19,217.96,0.608,4.6,4.21,12459.0,0.0,1322,-1.0,0
177P/Barnard,24.3,0.9544,31.22,272.07,60.45,1.107,47.5,120.0,42903.0,0.0,1702,-1.0,0
181P/Shoemaker-Levy 6,3.839,0.7073,16.98,37.68,333.8,1.124,6.55,7.52,8252.0,2.0,88,-1.0,0
182P/LONEOS,2.931,0.6663,16.91,75.1,51.43,0.978,4.88,5.02,3819.0,0.0,197,-1.0,0
185P/Petriew,3.1,0.6988,14.0,214.1,181.94,0.934,5.27,5.46,4272.0,0.0,715,-1.0,0
189P/NEAT,2.918,0.5976,20.4,282.2,15.31,1.174,4.66,4.98,7330.0,0.0,1469,-1.0,0
197P/LINEAR,2.867,0.6299,25.56,66.4,188.75,1.061,4.67,4.86,7452.0,0.0,325,-1.0,0
206P/Barnard-Boattini,3.234,0.6485,33.2,204.38,181.36,1.136,5.33,5.81,42448.0,2.0,284,-1.0,0
207P/NEAT,3.872,0.7591,10.19,198.34,273.0,0.933,6.81,7.62,8420.0,0.0,945,-1.0,0
209P/LINEAR,2.949,0.6819,21.33,62.88,152.64,0.938,4.96,5.06,7580.0,0.0,2876,-1.0,0
210P/Christensen,3.176,0.8317,10.22,93.87,345.77,0.534,5.82,5.66,6256.0,0.0,715,-1.0,0
217P/LINEAR,3.944,0.6896,12.88,125.62,246.77,1.224,6.66,7.83,8392.0,0.0,3288,-1.0,0
222P/LINEAR,2.857,0.7268,5.15,7.13,345.43,0.781,4.93,4.83,5283.0,0.0,239,-1.0,0
249P/LINEAR,2.77,0.8187,8.4,239.85,64.81,0.502,5.04,4.61,5205.0,0.0,884,-1.0,0
252P/LINEAR,3.047,0.6731,10.42,190.95,343.31,0.996,5.1,5.32,1972.0,3.0,122,-1.0,0
255P/Levy,3.025,0.672,18.33,279.78,179.59,0.992,5.06,5.26,5484.0,0.0,503,-1.0,0
262P/McNaught-Russell,6.935,0.8154,29.08,218.01,171.17,1.28,12.59,18.3,6706.0,0.0,1339,-1.0,0
263P/Gibbs,3.06,0.5878,11.54,105.81,34.57,1.261,4.86,5.35,6084.0,0.0,771,-1.0,0
273P/Pons-Gambart,32.83,0.9753,136.4,320.43,20.19,0.81,64.85,188.0,68223.0,3.0,1140,-1.0,0
289P/Blanpain,3.045,0.6851,5.9,68.92,9.85,0.959,5.13,5.31,4029.0,1.0,350,-1.0,0
294P/LINEAR,3.194,0.5986,18.54,314.34,234.17,1.282,5.11,5.71,4598.0,0.0,233,-1.0,0
300P/Catalina,2.699,0.6916,5.68,95.69,222.87,0.832,4.57,4.43,3356.0,0.0,148,-1.0,0
306P/LINEAR,3.104,0.5983,8.36,341.5,0.77,1.247,4.96,5.47,4156.0,0.0,343,-1.0,0
317P/WISE,2.957,0.5802,11.96,275.69,334.74,1.241,4.67,5.08,5301.0,1.0,93,-1.0,0
319P/Catalina-McNaught,3.573,0.665,15.07,111.37,203.68,1.197,5.95,6.75,2803.0,0.0,369,-1.0,0
320P/McNaught,3.103,0.6824,4.89,295.96,0.67,0.985,5.22,5.47,4055.0,0.0,121,-1.0,0
321P/SOHO,2.427,0.9807,19.74,165.27,172.41,0.047,4.81,3.78,5539.0,3.0,91,-1.0,0
322P/SOHO,2.516,0.9787,12.59,359.52,49.05,0.054,4.98,3.99,5817.0,2.0,318,-1.0,0
323P/SOHO,2.582,0.9848,5.37,324.23,353.17,0.039,5.12,4.15,1584.0,2.0,143,-1.0,0
323P/SOHO-B,2.888,0.9843,5.43,323.7,354.85,0.045,5.73,4.91,1.0,9.0,9,-1.0,0
323P/SOHO-C,2.61,0.9811,5.26,324.67,354.65,0.049,5.17,4.22,1.0,9.0,9,-1.0,0
325P/Yang-Gao,3.406,0.6243,16.33,258.85,347.0,1.279,5.53,6.29,26052.0,0.0,1380,-1.0,0
333P/LINEAR,4.223,0.736,131.88,115.56,26.15,1.115,7.33,8.68,6090.0,0.0,690,-1.0,0
342P/SOHO,3.043,0.9826,13.27,43.4,58.7,0.053,6.03,5.31,5816.0,4.0,283,-1.0,0
364P/PANSTARRS,2.878,0.7226,12.15,46.22,211.97,0.799,4.96,4.88,3960.0,0.0,1487,-1.0,0
384P/Kowalski,2.907,0.6154,7.28,354.39,37.38,1.118,4.7,4.96,3614.0,0.0,663,-1.0,0
387P/Boattini,4.799,0.736,8.9,259.36,162.78,1.267,8.33,10.5,4055.0,0.0,347,-1.0,0
405P/Lemmon,3.607,0.6891,9.37,3.31,112.29,1.121,6.09,6.85,2775.0,0.0,1017,-1.0,0
414P/STEREO,2.795,0.8117,23.38,257.79,210.74,0.526,5.06,4.67,1779.0,2.0,240,-1.0,0
460P/PANSTARRS,3.022,0.6663,18.92,180.53,351.9,1.009,5.04,5.25,1862.0,1.0,160,-1.0,0
463P/NEOWISE,2.976,0.8253,29.44,283.72,215.91,0.52,5.43,5.13,3962.0,0.0,114,-1.0,0
479P/Elenin,5.62,0.7786,15.39,295.85,263.49,1.244,10.0,13.3,4803.0,0.0,990,-1.0,0
