full_name,a,e,I,longNode,longPeri,q,ad,per_y,data_arc,condition_code,n_obs_used,H,pha
438105 (2005 GO22),1.914,0.8234,1.56,61.76,19.09,0.338,3.49,2.65,6655.0,0.0,312,18.77,1
438107 (2005 GY110),1.849,0.6864,12.65,294.6,169.14,0.58,3.12,2.51,5230.0,0.0,109,18.36,0
438116 (2005 NX44),2.216,0.9074,36.5,308.83,215.18,0.205,4.23,3.3,7003.0,0.0,158,17.38,0
438317 (2006 JX),1.709,0.2721,23.9,233.29,315.51,1.244,2.17,2.23,6666.0,0.0,111,19.89,0
438429 (2006 WN1),2.1,0.4504,4.02,239.14,93.65,1.154,3.05,3.04,6455.0,0.0,1398,18.88,0
438430 (2006 WL3),1.358,0.2408,20.39,81.29,67.17,1.031,1.69,1.58,4223.0,0.0,196,20.1,0
438452 (2007 AS12),1.51,0.244,21.01,126.27,266.91,1.142,1.88,1.86,7991.0,0.0,415,19.25,0
438661 (2008 EP6),1.209,0.2932,17.72,303.22,130.3,0.855,1.56,1.33,5882.0,0.0,247,19.23,1
438897 (2009 WN),1.38,0.2214,32.79,249.33,236.15,1.074,1.69,1.62,7695.0,0.0,241,18.84,0
438902 (2009 WF104),3.082,0.6559,16.97,81.63,94.43,1.061,5.1,5.41,4241.0,0.0,920,17.5,0
438908 (2009 XO),1.859,0.5434,0.35,27.95,140.52,0.849,2.87,2.53,3868.0,0.0,840,20.63,1
438955 (2010 LN14),1.154,0.4746,1.47,342.96,33.25,0.606,1.7,1.24,4306.0,0.0,276,21.01,1
438990 (2010 SG13),1.252,0.7485,33.8,252.94,225.12,0.315,2.19,1.4,5092.0,0.0,114,18.39,0
439313 (2012 VE82),2.11,0.5437,9.92,110.4,186.45,0.963,3.26,3.07,4142.0,0.0,212,19.66,1
439437 (2013 NK4),1.023,0.5499,6.55,33.7,50.57,0.46,1.58,1.03,3995.0,0.0,518,18.94,1
439854 (1998 XA5),1.558,0.307,31.76,274.15,211.31,1.08,2.04,1.95,9679.0,0.0,264,18.73,0
439877 (1999 XM141),1.236,0.3691,21.62,72.98,105.8,0.78,1.69,1.37,8270.0,0.0,208,19.69,1
439889 (2000 PG5),2.087,0.4577,6.12,309.74,358.73,1.132,3.04,3.02,10894.0,0.0,235,20.38,0
439898 (2000 TG2),1.522,0.2454,12.0,206.82,200.42,1.148,1.9,1.88,8676.0,0.0,273,19.99,0
439908 (2000 XH47),1.526,0.2251,16.95,295.83,104.76,1.182,1.87,1.88,8592.0,0.0,343,19.41,0
440012 (2002 LE27),2.18,0.454,3.1,226.2,83.65,1.19,3.17,3.22,5826.0,0.0,170,19.61,0
440212 (2004 OB),1.681,0.4304,3.44,174.52,223.35,0.957,2.4,2.18,5939.0,0.0,739,18.96,1
441058 (2007 PH25),2.545,0.811,53.22,150.26,331.82,0.481,4.61,4.06,6196.0,0.0,278,16.52,0
441103 (2007 SP6),2.559,0.5467,14.11,68.24,331.63,1.16,3.96,4.09,13515.0,0.0,406,18.19,0
441304 (2008 AU26),1.395,0.1024,2.66,299.48,128.64,1.252,1.54,1.65,5610.0,0.0,163,20.99,0
441641 (2008 WZ13),1.995,0.5625,8.2,51.73,133.93,0.873,3.12,2.82,5147.0,0.0,376,18.62,1
441823 (2009 QO5),1.596,0.2384,8.56,145.75,188.82,1.215,1.98,2.02,5044.0,0.0,97,22.16,0
441825 (2009 SK1),1.611,0.2229,30.82,184.36,104.5,1.252,1.97,2.04,5114.0,0.0,1140,18.39,0
441952 (2010 LR68),3.096,0.5872,4.71,109.01,299.8,1.278,4.91,5.45,5877.0,0.0,418,18.39,0
441987 (2010 NY65),1.003,0.3701,11.54,267.92,252.07,0.632,1.37,1.01,5134.0,0.0,997,21.36,1
442037 (2010 PR66),2.927,0.6872,17.6,292.75,319.52,0.916,4.94,5.01,3786.0,0.0,616,19.27,1
442177 (2010 XC24),1.2,0.0632,38.95,269.39,298.35,1.124,1.28,1.31,4640.0,0.0,165,19.94,0
442243 (2011 MD11),2.501,0.4964,16.16,15.88,333.21,1.259,3.74,3.96,4571.0,0.0,1109,18.09,0
442523 (2011 WU95),1.667,0.4245,6.72,67.67,242.41,0.959,2.37,2.15,3357.0,0.0,359,19.51,1
442559 (2012 AU10),1.658,0.3158,39.13,125.21,307.46,1.134,2.18,2.13,4204.0,0.0,314,18.22,0
442605 (2012 HY33),1.998,0.5435,14.7,63.58,270.82,0.912,3.08,2.82,5112.0,0.0,136,19.29,0
442609 (2012 KU42),2.201,0.5144,18.97,136.18,207.83,1.069,3.33,3.27,6471.0,0.0,206,17.63,0
442742 (2012 WP3),2.1,0.384,22.57,227.15,141.75,1.294,2.91,3.04,5286.0,0.0,1156,17.77,0
443103 (2013 WT67),1.035,0.1922,21.47,322.75,99.03,0.836,1.23,1.05,2722.0,0.0,628,17.97,1
443104 (2013 XK22),1.046,0.2032,6.99,268.33,265.78,0.833,1.26,1.07,959.0,1.0,99,24.16,0
443806 (1998 FL3),1.26,0.2478,26.39,180.1,121.34,0.948,1.57,1.41,8769.0,0.0,59,21.72,1
443837 (2000 TJ1),1.161,0.0809,39.54,190.42,52.51,1.067,1.25,1.25,7327.0,0.0,774,19.7,0
443880 (2001 UZ16),1.76,0.4263,12.67,323.1,28.63,1.01,2.51,2.34,7690.0,0.0,448,19.38,1
443923 (2002 RU25),2.177,0.4827,28.9,5.05,306.35,1.126,3.23,3.21,7889.0,0.0,775,17.57,0
443972 (2003 TN1),1.433,0.1359,19.23,13.66,54.6,1.238,1.63,1.71,7112.0,0.0,173,19.64,0
444004 (2004 AS1),1.07,0.1744,17.21,322.53,262.12,0.884,1.26,1.11,4265.0,0.0,205,20.67,1
444185 (2005 SR1),2.221,0.4989,3.26,147.38,135.82,1.113,3.33,3.31,4608.0,0.0,106,19.24,0
444193 (2005 SE71),1.069,0.1944,24.83,39.1,78.29,0.862,1.28,1.11,5379.0,0.0,485,18.19,1
444584 (2006 UK),1.494,0.5389,4.75,243.92,252.35,0.689,2.3,1.83,4050.0,0.0,383,20.25,1
444627 (2006 WU),1.789,0.3551,2.9,332.13,209.21,1.154,2.42,2.39,15803.0,0.0,185,19.06,0
444628 (2006 WQ1),1.475,0.2404,14.41,111.8,205.24,1.121,1.83,1.79,5878.0,0.0,375,19.51,0
444935 (2008 CQ1),2.193,0.4334,3.35,290.07,304.02,1.243,3.14,3.25,5801.0,0.0,86,19.33,0
445025 (2008 NS1),2.409,0.809,13.47,305.78,211.12,0.46,4.36,3.74,5163.0,0.0,88,17.43,0
445267 (2009 SD229),2.099,0.4096,8.12,124.07,181.11,1.239,2.96,3.04,5481.0,0.0,381,19.6,0
445305 (2010 DM56),1.306,0.2927,25.6,349.61,48.17,0.924,1.69,1.49,5310.0,0.0,281,19.71,1
445775 (2011 YA),2.113,0.7592,5.19,340.0,227.67,0.509,3.72,3.07,4676.0,0.0,689,18.61,0
445830 (2012 CL19),1.562,0.4412,2.87,128.51,295.33,0.873,2.25,1.95,1330.0,0.0,111,22.23,0
445974 (2013 BJ18),1.478,0.364,3.71,90.82,159.61,0.94,2.02,1.8,4275.0,0.0,108,20.29,1
446789 (1998 FN9),1.397,0.2354,14.63,183.84,329.34,1.068,1.73,1.65,9283.0,0.0,119,20.86,0
446791 (1998 SJ70),2.237,0.7056,7.3,21.43,246.99,0.659,3.82,3.35,7353.0,0.0,233,18.52,1
446804 (1999 VN6),1.733,0.3706,19.48,58.02,43.67,1.091,2.38,2.28,9094.0,0.0,314,19.63,0
446826 (2001 PE1),2.777,0.5934,3.46,182.91,191.21,1.129,4.43,4.63,8433.0,0.0,188,18.61,0
446833 (2001 RB12),1.052,0.3813,6.61,333.19,141.71,0.651,1.45,1.08,5742.0,0.0,270,20.95,0
446862 (2001 VB76),1.459,0.3483,4.24,259.39,248.5,0.951,1.97,1.76,7656.0,0.0,160,20.54,1
446924 (2002 VV17),0.8376,0.4366,9.7,222.17,348.88,0.472,1.2,0.767,10982.0,0.0,455,20.21,0
446935 (2002 XZ38),2.216,0.4827,21.64,262.83,237.37,1.146,3.29,3.3,7518.0,0.0,220,18.23,0
446938 (2002 YQ5),1.287,0.1236,15.55,279.89,258.64,1.128,1.45,1.46,7086.0,0.0,217,20.21,0
446955 (2003 SC11),1.438,0.2899,43.47,177.61,287.72,1.021,1.86,1.73,7149.0,0.0,147,20.23,0
446963 (2003 TK),2.068,0.4476,4.39,258.71,11.24,1.143,2.99,2.98,6606.0,2.0,80,19.52,0
447221 (2005 UO5),1.161,0.1503,19.68,50.74,76.36,0.987,1.34,1.25,5667.0,0.0,142,20.77,0
447655 (2006 WA),1.493,0.1426,28.23,58.11,270.44,1.28,1.71,1.82,6412.0,0.0,119,19.98,0
447755 (2007 JX2),1.708,0.5261,4.22,44.31,87.95,0.81,2.61,2.23,6355.0,0.0,217,19.77,1
447795 (2007 TH19),2.505,0.505,2.28,86.33,194.89,1.24,3.77,3.96,5885.0,1.0,136,17.91,0
447903 (2007 XJ20),1.693,0.6001,10.65,56.54,152.03,0.677,2.71,2.2,6212.0,0.0,177,18.58,0
447977 (2008 CC119),2.588,0.5384,24.96,350.49,137.06,1.195,3.98,4.16,2830.0,1.0,46,18.69,0
448003 (2008 DE),1.714,0.414,14.77,55.91,179.2,1.005,2.42,2.24,5375.0,0.0,378,19.64,1
448628 (2010 VF1),1.244,0.6531,22.15,216.34,334.34,0.432,2.06,1.39,4338.0,0.0,126,20.35,0
448721 (2011 BN24),1.544,0.4125,3.94,195.74,61.85,0.907,2.18,1.92,1725.0,0.0,78,20.98,1
448724 (2011 BB45),1.541,0.3048,17.12,304.82,351.29,1.071,2.01,1.91,3969.0,0.0,101,19.59,0
448818 (2011 UU20),2.485,0.5246,21.98,355.09,137.19,1.181,3.79,3.92,7526.0,0.0,1215,17.8,0
448972 (2011 YV15),2.842,0.5452,5.97,1.87,162.39,1.293,4.39,4.79,7528.0,0.0,707,17.2,0
449074 (2012 FR62),1.662,0.2625,39.53,206.78,274.36,1.226,2.1,2.14,7560.0,0.0,167,19.3,0
449089 (2012 SC22),1.319,0.6318,12.61,344.34,167.5,0.485,2.15,1.51,4375.0,1.0,63,20.14,0
449107 (2012 VJ82),1.359,0.3899,15.72,257.4,271.88,0.829,1.89,1.58,7823.0,0.0,266,19.72,0
450142 (1998 XN2),1.998,0.542,1.79,255.19,127.0,0.915,3.08,2.82,7343.0,0.0,398,19.88,1
450143 (1999 ED5),1.746,0.4663,18.18,5.51,274.02,0.932,2.56,2.31,8650.0,0.0,243,19.51,0
450159 (2000 JJ5),1.91,0.7024,9.45,59.83,50.9,0.569,3.25,2.64,8562.0,0.0,185,19.03,0
450160 (2000 RM12),2.433,0.6674,57.25,354.42,101.94,0.809,4.06,3.8,8333.0,0.0,739,16.77,0
450185 (2001 WJ2),1.446,0.2441,27.33,57.17,298.04,1.093,1.8,1.74,7696.0,0.0,151,20.14,0
450203 (2002 NA31),1.666,0.2886,19.97,125.48,219.95,1.185,2.15,2.15,6188.0,0.0,103,20.04,0
450237 (2002 XY38),0.9112,0.2176,2.12,158.7,119.92,0.713,1.11,0.87,7342.0,0.0,145,23.18,0
450238 (2002 XN40),2.17,0.4267,25.62,270.95,216.53,1.244,3.1,3.2,6938.0,0.0,258,18.36,0
450259 (2003 WQ7),1.8,0.4531,17.8,38.56,100.19,0.984,2.62,2.42,6257.0,0.0,146,19.93,0
450263 (2003 WD158),1.426,0.4091,16.73,92.2,102.39,0.843,2.01,1.7,7262.0,0.0,5297,18.85,1
450270 (2004 AE),1.432,0.3326,18.72,307.56,193.19,0.955,1.91,1.71,6158.0,0.0,87,20.6,1
450293 (2004 LV3),1.231,0.2757,35.34,273.47,121.35,0.892,1.57,1.37,7156.0,0.0,481,18.83,1
450300 (2004 QD14),0.9417,0.3378,6.25,75.25,109.35,0.624,1.26,0.914,4832.0,0.0,153,20.67,1
450648 (2006 UC63),1.473,0.2819,16.67,219.62,328.14,1.058,1.89,1.79,6557.0,0.0,327,19.55,0
450649 (2006 UY64),0.9316,0.1574,26.22,30.78,210.9,0.785,1.08,0.899,6554.0,0.0,520,19.54,0
450779 (2007 SE11),1.958,0.3567,48.29,50.04,353.29,1.26,2.66,2.74,5267.0,0.0,389,17.81,0
450894 (2008 BT18),2.22,0.5946,8.15,107.53,139.4,0.9,3.54,3.31,24049.0,0.0,435,18.17,1
451003 (2008 UD1),1.716,0.4637,6.48,154.19,6.69,0.92,2.51,2.25,5398.0,0.0,133,19.53,1
451124 (2009 KC3),3.209,0.6984,10.01,340.11,337.28,0.968,5.45,5.75,2394.0,1.0,456,18.08,1
451157 (2009 SQ104),1.285,0.2795,4.02,56.52,95.68,0.926,1.64,1.46,4743.0,0.0,364,21.13,1
451217 (2009 XE11),3.316,0.6104,14.06,99.8,107.73,1.292,5.34,6.04,8776.0,0.0,153,17.0,0
451297 (2010 TK54),1.84,0.496,30.79,28.14,223.01,0.927,2.75,2.5,4391.0,1.0,71,19.19,1
451370 (2011 AK5),1.188,0.2308,5.52,316.78,325.69,0.914,1.46,1.29,4782.0,0.0,128,21.48,1
451397 (2011 EZ78),2.392,0.5434,17.94,109.81,179.73,1.092,3.69,3.7,4234.0,0.0,724,17.22,0
452302 (1995 YR1),1.698,0.8268,3.58,106.52,110.04,0.294,3.1,2.21,9062.0,0.0,224,20.23,1
452307 Manawydan (1997 XV11),1.867,0.3178,44.27,241.21,270.15,1.274,2.46,2.55,9730.0,0.0,234,18.44,0
452313 (1998 XR16),2.273,0.5814,20.5,91.48,68.57,0.951,3.59,3.43,8946.0,0.0,352,18.6,0
452314 (1999 LN28),2.141,0.4673,9.2,115.59,186.65,1.141,3.14,3.13,9140.0,0.0,425,19.05,0
452334 (2001 LB),1.236,0.1891,20.8,80.87,118.25,1.002,1.47,1.37,8039.0,0.0,174,21.08,0
452376 (2002 AC5),1.76,0.4937,16.55,82.37,331.72,0.891,2.63,2.34,7730.0,0.0,135,19.97,1
452389 (2002 NW16),1.109,0.0301,14.16,301.51,317.32,1.075,1.14,1.17,8103.0,0.0,2103,18.15,0
452397 (2002 PD130),1.882,0.3437,8.78,269.1,105.26,1.235,2.53,2.58,6517.0,0.0,95,20.3,0
452421 (2002 VX99),2.637,0.5097,24.48,234.18,259.91,1.293,3.98,4.28,6297.0,0.0,142,18.56,0
452474 (2004 BG11),1.776,0.4875,34.11,108.15,83.86,0.91,2.64,2.37,7124.0,0.0,315,18.6,0
452561 (2005 AB),3.22,0.6545,8.15,126.22,63.7,1.112,5.33,5.78,6298.0,0.0,1796,17.58,0
